bigrams_comb,count,quarter
"('朝鲜', '发射')",4,2006-2009Q
"('朝鲜', '卫星')",3,2006-2009Q
"('发射', '朝鲜')",3,2006-2009Q
"('导弹', '发射')",3,2006-2009Q
"('日', '朝鲜')",2,2006-2009Q
"('朝鲜', '问题')",2,2006-2009Q
"('朝鲜', '韩国')",2,2006-2009Q
"('主席', '发射')",2,2006-2009Q
"('发射', '日本')",2,2006-2009Q
"('朝鲜', '美国')",2,2006-2009Q
"('导弹', '朝鲜')",2,2006-2009Q
"('朝鲜', '月')",2,2006-2009Q
"('朝鲜', '报道')",2,2006-2009Q
"('发射', '报道')",2,2006-2009Q
"('导弹', '日本')",2,2006-2009Q
"('发射', '火箭')",2,2006-2009Q
"('安理会', '声明')",2,2006-2009Q
"('安理会', '主席')",2,2006-2009Q
"('安理会', '朝鲜')",2,2006-2009Q
"('发射', '卫星')",2,2006-2009Q
"('安理会', '发射')",2,2006-2009Q
"('日', '月')",2,2006-2009Q
"('白皮书', '崛起')",1,2006-2009Q
"('白皮书', '资源')",1,2006-2009Q
"('朝鲜', '导弹')",1,2006-2009Q
"('北京', '资源')",1,2006-2009Q
"('白皮书', '感到')",1,2006-2009Q
"('白皮书', '这些')",1,2006-2009Q
"('白皮书', '军事')",1,2006-2009Q
"('北京', '防务')",1,2006-2009Q
"('北京', '崛起')",1,2006-2009Q
"('北京', '感到')",1,2006-2009Q
"('白皮书', '防务')",1,2006-2009Q
"('澳大利亚', '资源')",1,2006-2009Q
"('白皮书', '北京')",1,2006-2009Q
"('中国', '军事')",1,2006-2009Q
"('中国', '北京')",1,2006-2009Q
"('中国', '防务')",1,2006-2009Q
"('中国', '资源')",1,2006-2009Q
"('中国', '崛起')",1,2006-2009Q
"('中国', '感到')",1,2006-2009Q
"('中国', '这些')",1,2006-2009Q
"('澳大利亚', '白皮书')",1,2006-2009Q
"('澳大利亚', '军事')",1,2006-2009Q
"('澳大利亚', '北京')",1,2006-2009Q
"('澳大利亚', '防务')",1,2006-2009Q
"('北京', '军事')",1,2006-2009Q
"('澳大利亚', '崛起')",1,2006-2009Q
"('澳大利亚', '感到')",1,2006-2009Q
"('澳大利亚', '这些')",1,2006-2009Q
"('北京', '这些')",1,2006-2009Q
"('防务', '军事')",1,2006-2009Q
"('防务', '资源')",1,2006-2009Q
"('防务', '崛起')",1,2006-2009Q
"('海军', '新加坡')",1,2006-2009Q
"('海军', '经济')",1,2006-2009Q
"('海军', '飞机')",1,2006-2009Q
"('海军', '印度')",1,2006-2009Q
"('舰艇', '投资')",1,2006-2009Q
"('舰艇', '投入')",1,2006-2009Q
"('舰艇', '美元')",1,2006-2009Q
"('舰艇', '亚洲')",1,2006-2009Q
"('舰艇', '新加坡')",1,2006-2009Q
"('舰艇', '经济')",1,2006-2009Q
"('舰艇', '飞机')",1,2006-2009Q
"('舰艇', '印度')",1,2006-2009Q
"('投资', '投入')",1,2006-2009Q
"('投资', '美元')",1,2006-2009Q
"('投资', '亚洲')",1,2006-2009Q
"('海军', '亚洲')",1,2006-2009Q
"('海军', '美元')",1,2006-2009Q
"('海军', '投入')",1,2006-2009Q
"('资源', '军事')",1,2006-2009Q
"('防务', '感到')",1,2006-2009Q
"('防务', '这些')",1,2006-2009Q
"('中国', '澳大利亚')",1,2006-2009Q
"('资源', '崛起')",1,2006-2009Q
"('资源', '感到')",1,2006-2009Q
"('资源', '这些')",1,2006-2009Q
"('崛起', '感到')",1,2006-2009Q
"('海军', '投资')",1,2006-2009Q
"('崛起', '这些')",1,2006-2009Q
"('崛起', '军事')",1,2006-2009Q
"('感到', '这些')",1,2006-2009Q
"('感到', '军事')",1,2006-2009Q
"('这些', '军事')",1,2006-2009Q
"('海军', '舰艇')",1,2006-2009Q
"('中国', '白皮书')",1,2006-2009Q
"('声明', '会谈')",1,2006-2009Q
"('会谈', '任何')",1,2006-2009Q
"('发射', '联合国')",1,2006-2009Q
"('欢迎', '发射')",1,2006-2009Q
"('欢迎', '敦促')",1,2006-2009Q
"('欢迎', '联合国')",1,2006-2009Q
"('欢迎', '努力')",1,2006-2009Q
"('欢迎', '决议')",1,2006-2009Q
"('发射', '敦促')",1,2006-2009Q
"('发射', '努力')",1,2006-2009Q
"('朝鲜', '努力')",1,2006-2009Q
"('发射', '决议')",1,2006-2009Q
"('敦促', '联合国')",1,2006-2009Q
"('敦促', '努力')",1,2006-2009Q
"('敦促', '决议')",1,2006-2009Q
"('联合国', '努力')",1,2006-2009Q
"('联合国', '决议')",1,2006-2009Q
"('朝鲜', '决议')",1,2006-2009Q
"('朝鲜', '联合国')",1,2006-2009Q
"('军方', '安理会')",1,2006-2009Q
"('声明', '决议')",1,2006-2009Q
"('声明', '朝鲜')",1,2006-2009Q
"('声明', '欢迎')",1,2006-2009Q
"('声明', '发射')",1,2006-2009Q
"('声明', '敦促')",1,2006-2009Q
"('声明', '联合国')",1,2006-2009Q
"('声明', '努力')",1,2006-2009Q
"('主席', '朝鲜')",1,2006-2009Q
"('朝鲜', '敦促')",1,2006-2009Q
"('主席', '欢迎')",1,2006-2009Q
"('主席', '敦促')",1,2006-2009Q
"('主席', '联合国')",1,2006-2009Q
"('主席', '努力')",1,2006-2009Q
"('主席', '决议')",1,2006-2009Q
"('朝鲜', '欢迎')",1,2006-2009Q
"('努力', '决议')",1,2006-2009Q
"('军方', '朝鲜')",1,2006-2009Q
"('卫星', '任何')",1,2006-2009Q
"('平壤', '声明')",1,2006-2009Q
"('主席', '会谈')",1,2006-2009Q
"('主席', '任何')",1,2006-2009Q
"('发射', '平壤')",1,2006-2009Q
"('发射', '声明')",1,2006-2009Q
"('发射', '会谈')",1,2006-2009Q
"('发射', '任何')",1,2006-2009Q
"('平壤', '卫星')",1,2006-2009Q
"('主席', '声明')",1,2006-2009Q
"('平壤', '会谈')",1,2006-2009Q
"('平壤', '任何')",1,2006-2009Q
"('声明', '卫星')",1,2006-2009Q
"('投资', '经济')",1,2006-2009Q
"('声明', '任何')",1,2006-2009Q
"('卫星', '会谈')",1,2006-2009Q
"('主席', '卫星')",1,2006-2009Q
"('主席', '平壤')",1,2006-2009Q
"('军方', '主席')",1,2006-2009Q
"('安理会', '平壤')",1,2006-2009Q
"('军方', '发射')",1,2006-2009Q
"('军方', '平壤')",1,2006-2009Q
"('军方', '声明')",1,2006-2009Q
"('军方', '卫星')",1,2006-2009Q
"('军方', '会谈')",1,2006-2009Q
"('军方', '任何')",1,2006-2009Q
"('安理会', '卫星')",1,2006-2009Q
"('朝鲜', '任何')",1,2006-2009Q
"('安理会', '会谈')",1,2006-2009Q
"('安理会', '任何')",1,2006-2009Q
"('朝鲜', '主席')",1,2006-2009Q
"('朝鲜', '平壤')",1,2006-2009Q
"('朝鲜', '声明')",1,2006-2009Q
"('朝鲜', '会谈')",1,2006-2009Q
"('投资', '新加坡')",1,2006-2009Q
"('投入', '亚洲')",1,2006-2009Q
"('投资', '飞机')",1,2006-2009Q
"('国防部', '确定')",1,2006-2009Q
"('国防部', '深入')",1,2006-2009Q
"('对话', '朝鲜')",1,2006-2009Q
"('对话', '转变')",1,2006-2009Q
"('对话', '确定')",1,2006-2009Q
"('对话', '威胁')",1,2006-2009Q
"('对话', '深入')",1,2006-2009Q
"('朝鲜', '转变')",1,2006-2009Q
"('朝鲜', '确定')",1,2006-2009Q
"('朝鲜', '威胁')",1,2006-2009Q
"('朝鲜', '深入')",1,2006-2009Q
"('转变', '确定')",1,2006-2009Q
"('转变', '威胁')",1,2006-2009Q
"('转变', '深入')",1,2006-2009Q
"('确定', '威胁')",1,2006-2009Q
"('确定', '深入')",1,2006-2009Q
"('国防部', '威胁')",1,2006-2009Q
"('国防部', '转变')",1,2006-2009Q
"('导弹', '行为')",1,2006-2009Q
"('国防部', '朝鲜')",1,2006-2009Q
"('研究', '国防部')",1,2006-2009Q
"('研究', '对话')",1,2006-2009Q
"('研究', '朝鲜')",1,2006-2009Q
"('研究', '转变')",1,2006-2009Q
"('研究', '确定')",1,2006-2009Q
"('研究', '威胁')",1,2006-2009Q
"('研究', '深入')",1,2006-2009Q
"('美国', '国防部')",1,2006-2009Q
"('美国', '对话')",1,2006-2009Q
"('美国', '朝鲜')",1,2006-2009Q
"('美国', '转变')",1,2006-2009Q
"('美国', '确定')",1,2006-2009Q
"('美国', '威胁')",1,2006-2009Q
"('美国', '深入')",1,2006-2009Q
"('国防部', '对话')",1,2006-2009Q
